Date,regime_pdrc
2004-01-16,Stable
2004-01-20,Stable
2004-01-21,Stable
2004-01-22,Stable
2004-01-23,Stable
2004-01-26,Stable
2004-01-27,Stable
2004-01-28,Stable
2004-01-29,Stable
2004-01-30,Stable
2004-02-02,Stable
2004-02-03,Stable
2004-02-04,Stable
2004-02-05,Stable
2004-02-06,Stable
2004-02-09,Stable
2004-02-10,Stable
2004-02-11,Stable
2004-02-12,Stable
2004-02-13,Stable
2004-02-17,Stable
2004-02-18,Stable
2004-02-19,Stable
2004-02-20,Stable
2004-02-23,Stable
2004-02-24,Stable
2004-02-25,Stable
2004-02-26,Stable
2004-02-27,Stable
2004-03-01,Stable
2004-03-02,Stable
2004-03-03,Stable
2004-03-04,Stable
2004-03-05,Stable
2004-03-08,Stable
2004-03-09,Crisis
2004-03-10,Volatile
2004-03-11,Volatile
2004-03-12,Volatile
2004-03-15,Volatile
2004-03-16,Volatile
2004-03-17,Volatile
2004-03-18,Volatile
2004-03-19,Volatile
2004-03-22,Volatile
2004-03-23,Volatile
2004-03-24,Volatile
2004-03-25,Volatile
2004-03-26,Volatile
2004-03-29,Volatile
2004-03-30,Volatile
2004-03-31,Volatile
2004-04-01,Volatile
2004-04-02,Crisis
2004-04-05,Crisis
2004-04-06,Crisis
2004-04-07,Crisis
2004-04-08,Crisis
2004-04-12,Crisis
2004-04-13,Volatile
2004-04-14,Crisis
2004-04-15,Crisis
2004-04-16,Crisis
2004-04-19,Crisis
2004-04-20,RiskOn
2004-04-21,Crisis
2004-04-22,Crisis
2004-04-23,Crisis
2004-04-26,Crisis
2004-04-27,Crisis
2004-04-28,Illiquid
2004-04-29,Illiquid
2004-04-30,RiskOn
2004-05-03,RiskOn
2004-05-04,RiskOn
2004-05-05,RiskOn
2004-05-06,RiskOn
2004-05-07,RiskOn
2004-05-10,RiskOn
2004-05-11,RiskOn
2004-05-12,RiskOn
2004-05-13,RiskOn
2004-05-14,RiskOn
2004-05-17,RiskOn
2004-05-18,RiskOn
2004-05-19,RiskOn
2004-05-20,RiskOn
2004-05-21,RiskOn
2004-05-24,RiskOn
2004-05-25,RiskOn
2004-05-26,RiskOn
2004-05-27,Crisis
2004-05-28,Illiquid
2004-06-01,Illiquid
2004-06-02,Illiquid
2004-06-03,Illiquid
2004-06-04,Illiquid
2004-06-07,Crisis
2004-06-08,Stable
2004-06-09,Crisis
2004-06-10,Stable
2004-06-14,RiskOn
2004-06-15,RiskOn
2004-06-16,RiskOn
2004-06-17,RiskOn
2004-06-18,Stable
2004-06-21,RiskOn
2004-06-22,Crisis
2004-06-23,Crisis
2004-06-24,RiskOn
2004-06-25,RiskOn
2004-06-28,RiskOn
2004-06-29,RiskOn
2004-06-30,Crisis
2004-07-01,RiskOn
2004-07-02,RiskOn
2004-07-06,RiskOn
2004-07-07,RiskOn
2004-07-08,Illiquid
2004-07-09,Illiquid
2004-07-12,Illiquid
2004-07-13,Stable
2004-07-14,Stable
2004-07-15,Illiquid
2004-07-16,Stable
2004-07-19,Illiquid
2004-07-20,Stable
2004-07-21,RiskOn
2004-07-22,Illiquid
2004-07-23,Illiquid
2004-07-26,Illiquid
2004-07-27,RiskOn
2004-07-28,RiskOn
2004-07-29,RiskOn
2004-07-30,Illiquid
2004-08-02,Illiquid
2004-08-03,Illiquid
2004-08-04,Illiquid
2004-08-05,RiskOn
2004-08-06,Volatile
2004-08-09,RiskOn
2004-08-10,RiskOn
2004-08-11,RiskOn
2004-08-12,Volatile
2004-08-13,RiskOn
2004-08-16,RiskOn
2004-08-17,RiskOn
2004-08-18,RiskOn
2004-08-19,RiskOn
2004-08-20,Illiquid
2004-08-23,RiskOn
2004-08-24,Illiquid
2004-08-25,Stable
2004-08-26,Stable
2004-08-27,Stable
2004-08-30,Illiquid
2004-08-31,Illiquid
2004-09-01,Stable
2004-09-02,Stable
2004-09-03,Stable
2004-09-07,Stable
